sample,run,file1,file2,file_unpaired
SRS404517,SRR823291,SRR823291_1.fastq.gz,SRR823291_2.fastq.gz,
SRS404517,SRR798270,SRR798270_1.fastq.gz,SRR798270_2.fastq.gz,
SRS404517,SRR798776,SRR798776_1.fastq.gz,SRR798776_2.fastq.gz,
SRS404517,SRR798866,SRR798866_1.fastq.gz,SRR798866_2.fastq.gz,
SRS404517,SRR797809,SRR797809_1.fastq.gz,SRR797809_2.fastq.gz,
SRS404517,SRR822953,SRR822953_1.fastq.gz,SRR822953_2.fastq.gz,
SRS404518,SRR798164,SRR798164_1.fastq.gz,SRR798164_2.fastq.gz,
SRS404518,SRR797810,SRR797810_1.fastq.gz,SRR797810_2.fastq.gz,
SRS404518,SRR798802,SRR798802_1.fastq.gz,SRR798802_2.fastq.gz,
SRS404735,SRR823296,SRR823296_1.fastq.gz,SRR823296_2.fastq.gz,
SRS404735,SRR798126,SRR798126_1.fastq.gz,SRR798126_2.fastq.gz,
SRS404735,SRR798769,SRR798769_1.fastq.gz,SRR798769_2.fastq.gz,
SRS404735,SRR822341,SRR822341_1.fastq.gz,SRR822341_2.fastq.gz,
SRS404735,SRR798611,SRR798611_1.fastq.gz,SRR798611_2.fastq.gz,
SRS404735,SRR798124,SRR798124_1.fastq.gz,SRR798124_2.fastq.gz,
SRS404739,SRR823301,SRR823301_1.fastq.gz,SRR823301_2.fastq.gz,
SRS404739,SRR798237,SRR798237_1.fastq.gz,SRR798237_2.fastq.gz,
SRS404739,SRR823300,SRR823300_1.fastq.gz,SRR823300_2.fastq.gz,
SRS404739,SRR798131,SRR798131_1.fastq.gz,SRR798131_2.fastq.gz,
SRS404739,SRR798208,SRR798208_1.fastq.gz,SRR798208_2.fastq.gz,
SRS404739,SRR823393,SRR823393_1.fastq.gz,SRR823393_2.fastq.gz,
SRS404740,SRR798132,SRR798132_1.fastq.gz,SRR798132_2.fastq.gz,
SRS404740,SRR823400,SRR823400_1.fastq.gz,SRR823400_2.fastq.gz,
SRS404740,SRR822905,SRR822905_1.fastq.gz,SRR822905_2.fastq.gz,
SRS404740,SRR798241,SRR798241_1.fastq.gz,SRR798241_2.fastq.gz,
SRS404740,SRR822342,SRR822342_1.fastq.gz,SRR822342_2.fastq.gz,
SRS404740,SRR823401,SRR823401_1.fastq.gz,SRR823401_2.fastq.gz,
SRS404740,SRR798138,SRR798138_1.fastq.gz,SRR798138_2.fastq.gz,
