SAMN01932787	Cryptococcus_neoformans var. grubii_T4	SRS405101
SAMN01932786	Cryptococcus_neoformans var. grubii_LP-RSA1684	SRS405149
SAMN01932785	Cryptococcus_neoformans var. grubii_Bt8	SRS405146
SAMN01932784	Cryptococcus_neoformans var. grubii_Bt58	SRS405148
SAMN01932783	Cryptococcus_neoformans var. grubii_Bt30	SRS405118
SAMN01932782	Cryptococcus_neoformans var. grubii_Bt211	SRS404442
SAMN01932781	Cryptococcus_neoformans var. grubii_MW-RSA6134	SRS404793
SAMN01932780	Cryptococcus_neoformans var. grubii_Jo278-1	SRS404466
SAMN01932779	Cryptococcus_neoformans var. grubii_Bt57	SRS405151
SAMN01932778	Cryptococcus_neoformans var. grubii_Bt3	SRS404490
SAMN01932777	Cryptococcus_neoformans var. grubii_Bt210	SRS429660
SAMN01932776	Cryptococcus_neoformans var. grubii_MW-RSA606	SRS404761
SAMN01932775	Cryptococcus_neoformans var. grubii_C27	SRS405110
SAMN01932774	Cryptococcus_neoformans var. grubii_Bt79	SRS404791
SAMN01932771	Cryptococcus_neoformans var. grubii_Bt209	SRS404809
SAMN01932770	Cryptococcus_neoformans var. grubii_MW-RSA5387	SRS405102
SAMN01932769	Cryptococcus_neoformans var. grubii_Bt95	SRS405139
SAMN01932768	Cryptococcus_neoformans var. grubii_Bt78	SRS404777
SAMN01932767	Cryptococcus_neoformans var. grubii_Bt49	SRS404516
SAMN01932766	Cryptococcus_neoformans var. grubii_Bt28	SRS404807
SAMN01932765	Cryptococcus_neoformans var. grubii_MW-RSA4119	SRS404492
SAMN01932764	Cryptococcus_neoformans var. grubii_Bt93	SRS404759
SAMN01932763	Cryptococcus_neoformans var. grubii_Bt77	SRS405124
SAMN01932762	Cryptococcus_neoformans var. grubii_Bt48	SRS405144
SAMN01932761	Cryptococcus_neoformans var. grubii_Bt23	SRS404488
SAMN01932760	Cryptococcus_neoformans var. grubii_Bt207	SRS404785
SAMN01932759	Cryptococcus_neoformans var. grubii_MW-RSA1869	SRS404803
SAMN01932758	Cryptococcus_neoformans var. grubii_Bt90	SRS405119
SAMN01932757	Cryptococcus_neoformans var. grubii_Bt72	SRS404786
SAMN01932756	Cryptococcus_neoformans var. grubii_Bt42	SRS404451
SAMN01932755	Cryptococcus_neoformans var. grubii_Bt214	SRS404783
SAMN01932754	Cryptococcus_neoformans var. grubii_Bt205	SRS405128
SAMN01932753	Cryptococcus_neoformans var. grubii_WM148	SRS404479
SAMN01932752	Cryptococcus_neoformans var. grubii_LP-RSA848	SRS404813
SAMN01932751	Cryptococcus_neoformans var. grubii_Bt87	SRS404792
SAMN01932750	Cryptococcus_neoformans var. grubii_Bt6	SRS404753
SAMN01932749	Cryptococcus_neoformans var. grubii_Bt37	SRS404454
SAMN01932748	Cryptococcus_neoformans var. grubii_Bt213	SRS404449
SAMN01932747	Cryptococcus_neoformans var. grubii_Bt203	SRS404489
SAMN01932746	Cryptococcus_neoformans var. grubii_Th206	SRS405127
SAMN01932745	Cryptococcus_neoformans var. grubii_Bt83	SRS405111
SAMN01932744	Cryptococcus_neoformans var. grubii_Bt59	SRS405130
SAMN01932743	Cryptococcus_neoformans var. grubii_Bt212	SRS404457
SAMN01932725	Cryptococcus_neoformans var. grubii_LP-RSA1343	SRS404505
SAMN01932724	Cryptococcus_neoformans var. grubii_Bt88	SRS404778
SAMN01932723	Cryptococcus_neoformans var. grubii_Bt54	SRS404461
SAMN01932722	Cryptococcus_neoformans var. grubii_Bt38	SRS404784
SAMN01932721	Cryptococcus_neoformans var. grubii_Bt84	SRS404755
SAMN01932720	Cryptococcus_neoformans var. grubii_Bt53	SRS404789
SAMN01932718	Cryptococcus_neoformans var. grubii_LP-RSA116	SRS404498
SAMN01932717	Cryptococcus_neoformans var. grubii_Bt81	SRS404808
SAMN01932716	Cryptococcus_neoformans var. grubii_Bt52	SRS404781
SAMN01932715	Cryptococcus_neoformans var. grubii_Bt34	SRS404743
SAMN01932714	Cryptococcus_neoformans var. grubii_IUM 96-28-28	SRS404456
SAMN01932713	Cryptococcus_neoformans var. grubii_Bt76	SRS404448
SAMN01932711	Cryptococcus_neoformans var. grubii_Tu241-1	SRS404494
SAMN01932710	Cryptococcus_neoformans var. grubii_Gb159-1	SRS404480
SAMN01932709	Cryptococcus_neoformans var. grubii_Bt75	SRS404495
SAMN01932708	Cryptococcus_neoformans var. grubii_Bt5	SRS404810
SAMN01932707	Cryptococcus_neoformans var. grubii_Bt33	SRS404746
SAMN01932706	Cryptococcus_neoformans var. grubii_MW-RSA2628	SRS404452
SAMN01932705	Cryptococcus_neoformans var. grubii_Bt92	SRS405109
SAMN01932704	Cryptococcus_neoformans var. grubii_Bt56	SRS404765
SAMN01932703	Cryptococcus_neoformans var. grubii_Bt41	SRS404467
SAMN01932702	Cryptococcus_neoformans var. grubii_Bt32	SRS404468
SAMN01932701	Cryptococcus_neoformans var. grubii_LP-RSA3042	SRS404475
SAMN01932699	Cryptococcus_neoformans var. grubii_Bt55	SRS404463
SAMN01932698	Cryptococcus_neoformans var. grubii_Bt40	SRS404739
SAMN01932697	Cryptococcus_neoformans var. grubii_Bt31	SRS404750
SAMN01932696	Cryptococcus_neoformans var. grubii_LP-RSA2296	SRS404740
SAMN01932695	Cryptococcus_neoformans var. grubii_Bt89	SRS404458
SAMN01932694	Cryptococcus_neoformans var. grubii_Bt39	SRS404805
SAMN01932693	Cryptococcus_neoformans var. grubii_Bt27	SRS404477
SAMN01932692	Cryptococcus_neoformans_Bt85	SRS409066
SAMN01932691	Cryptococcus_neoformans_Bt63	SRS409112
SAMN01932690	Cryptococcus_neoformans_CHC193	SRS409175
SAMN01932688	Cryptococcus_neoformans_Gb118	SRS403287
SAMN01932687	Cryptococcus_neoformans_Br795	SRS409113
SAMN01932686	Cryptococcus_neoformans_C45	SRS409176
SAMN01932685	Cryptococcus_neoformans_Bt15	SRS409062
SAMN01932684	Cryptococcus_neoformans_Bt206	SRS409075
SAMN01932683	Cryptococcus_neoformans_Th84	SRS409074
SAMN01932682	Cryptococcus_neoformans_C8	SRS409059
SAMN01932681	Cryptococcus_neoformans_C23	SRS409482
